"source","num_articles","earliest","latest","min","max","avg","num_alerts"
landbote.ch/,89,"2014-04-12T08:43:00Z","2019-03-09T08:55:00Z",-0.20869565,0.406111121,0.08049102626699076,4
latinapress Nachrichten,2,"2015-06-17T01:07:00Z","2017-06-30T15:11:00Z",-0.0319086015,0.0970588252,0.03257511183619499,1
Lausitzer Rundschau,4,"2014-12-25T18:27:00Z","2019-03-07T10:49:00Z",0.0704545453,0.305555552,0.19590203277766705,0
lauterbacher-anzeiger.de,1,"2016-03-18T06:20:00Z","2016-03-18T06:20:00Z",0.0962962955,0.0962962955,0.0962962955236435,0
L'essentiel,1,"2019-01-18T19:33:00Z","2019-01-18T19:33:00Z",-0.0891025662,-0.0891025662,-0.08910256624221802,0
L'essentiel auf Deutsch,2,"2017-07-02T15:49:00Z","2018-09-25T06:12:00Z",-0.0102564106,0.15384616,0.07179487450048327,1
Limmattaler Zeitung,51,"2014-06-18T04:22:00Z","2018-12-17T22:20:00Z",-0.142499998,0.629166663,0.1399596894945146,1
Lübecker Nachrichten,1,"2016-12-31T09:37:00Z","2016-12-31T09:37:00Z",-0.116666667,-0.116666667,-0.11666666716337204,0
Luxemburger Wort,1,"2016-05-28T04:06:00Z","2016-05-28T04:06:00Z",0.0138211381,0.0138211381,0.013821138069033623,0
Luzerner Zeitung,94,"2019-01-01T12:54:00Z","2019-03-12T18:14:00Z",-0.167763159,0.330555558,0.08347746530706261,3
LZ online,1,"2015-09-28T08:55:00Z","2015-09-28T08:55:00Z",0.169354841,0.169354841,0.16935484111309052,0
Magyar Tokepiac,1,"2017-10-20T05:48:00Z","2017-10-20T05:48:00Z",0.230882347,0.230882347,0.23088234663009644,0
Main Post,2,"2014-01-08T16:57:00Z","2014-07-24T15:42:00Z",-0.0212121215,0.106730767,0.04275932256132364,0
main-spitze.de,2,"2015-12-10T07:21:00Z","2018-01-23T23:42:00Z",-0.0517857149,-0.0045454544,-0.028165584662929177,0
Mallorca Zeitung,2,"2016-06-25T00:36:00Z","2016-08-06T00:36:00Z",0.102946863,0.105555557,0.1042512096464634,1
manager magazin,1,"2018-04-01T08:37:00Z","2018-04-01T08:37:00Z",0.123214282,0.123214282,0.12321428209543228,0
Mannheimer Morgen,1,"2016-12-29T05:48:00Z","2016-12-29T05:48:00Z",0.036842104,0.036842104,0.03684210404753685,0
Märkische Allgemeine Zeitung,1,"2015-12-09T13:46:00Z","2015-12-09T13:46:00Z",0.141161621,0.141161621,0.14116162061691284,0
medienspiegel.ch,3,"2015-10-22T07:42:00Z","2016-09-21T13:39:00Z",-0.0780555531,0.0479166657,-0.002175925299525261,1
meedia.de,1,"2016-11-22T16:04:00Z","2016-11-22T16:04:00Z",-0.019600939,-0.019600939,-0.019600939005613327,0
meinbezirk.at,1,"2015-02-25T16:01:00Z","2015-02-25T16:01:00Z",-0.25,-0.25,-0.25,0
Merkur.de,12,"2014-01-11T15:14:00Z","2018-10-30T11:00:00Z",0.0357142873,0.337500006,0.15633856846640506,0
migazin.de,3,"2015-09-30T04:55:00Z","2017-10-11T04:27:00Z",-0.08529412,0.142499998,-0.006369970738887787,0
Mittelbayerische Zeitung,1,"2016-06-21T21:25:00Z","2016-06-21T21:25:00Z",-0.156896546,-0.156896546,-0.15689654648303986,0
Mitteldeutsche Zeitung,9,"2014-03-14T08:38:00Z","2018-11-28T15:39:00Z",-0.165104166,0.153676465,0.020010479906987812,1
moneycab.com,30,"2014-03-27T17:39:00Z","2019-03-12T09:45:00Z",-0.181250006,0.267391294,0.056185185358238715,1
money.oe24.at,1,"2016-09-25T22:01:00Z","2016-09-25T22:01:00Z",0.129166663,0.129166663,0.12916666269302368,0
MOPO.de,1,"2019-03-12T09:39:00Z","2019-03-12T09:39:00Z",0.0330895372,0.0330895372,0.0330895371735096,0
